"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 09:14:32 GMT 2025","Mon Jan 13 09:14:33 GMT 2025","705","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeDeletedViaApi","Check the deletion of the existing project via API",""
"passed","Mon Jan 13 09:12:28 GMT 2025","Mon Jan 13 09:12:51 GMT 2025","22606","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:14:15 GMT 2025","Mon Jan 13 09:14:16 GMT 2025","1514","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","emptyLogin","Check login with empty username and valid password",""
"passed","Mon Jan 13 09:14:20 GMT 2025","Mon Jan 13 09:14:24 GMT 2025","3739","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidPasswordLogin","Check login with valid username and invalid password",""
"passed","Mon Jan 13 09:11:04 GMT 2025","Mon Jan 13 09:11:25 GMT 2025","20982","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:12:17 GMT 2025","Mon Jan 13 09:12:18 GMT 2025","1346","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeDeletedViaApi","Check the deletion of the existing test case via API",""
"passed","Mon Jan 13 09:11:57 GMT 2025","Mon Jan 13 09:12:07 GMT 2025","10495","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeDeleted","Check the deletion of the existing suite",""
"passed","Mon Jan 13 09:14:02 GMT 2025","Mon Jan 13 09:14:14 GMT 2025","12919","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeUpdated","Check the updated test case with valid data",""
"passed","Mon Jan 13 09:13:38 GMT 2025","Mon Jan 13 09:13:49 GMT 2025","11205","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:10:39 GMT 2025","Mon Jan 13 09:11:04 GMT 2025","24822","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:14:31 GMT 2025","Mon Jan 13 09:14:32 GMT 2025","558","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeCreatedViaApi","Check the added new project via API",""
"passed","Mon Jan 13 09:13:49 GMT 2025","Mon Jan 13 09:14:01 GMT 2025","12178","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeDeleted","Check the deletion of the existing suite",""
"passed","Mon Jan 13 09:12:07 GMT 2025","Mon Jan 13 09:12:16 GMT 2025","8628","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeUpdated","Check the updated existing suite",""
"passed","Mon Jan 13 09:14:16 GMT 2025","Mon Jan 13 09:14:18 GMT 2025","1716","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","emptyPassword","Check login with valid username and empty password",""
"passed","Mon Jan 13 09:14:29 GMT 2025","Mon Jan 13 09:14:31 GMT 2025","1399","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeDeletedViaApi","Check the deletion of the existing suite via API",""
"passed","Mon Jan 13 09:10:39 GMT 2025","Mon Jan 13 09:11:03 GMT 2025","23959","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","checkAddedItems","Check the added project, suite, test case",""
"passed","Mon Jan 13 09:12:18 GMT 2025","Mon Jan 13 09:12:20 GMT 2025","1191","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeUpdated","Check the updated existing test case via API",""
"passed","Mon Jan 13 09:11:33 GMT 2025","Mon Jan 13 09:11:44 GMT 2025","10314","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeUpdated","Check the updated existing project",""
"passed","Mon Jan 13 09:14:28 GMT 2025","Mon Jan 13 09:14:29 GMT 2025","764","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeCreatedViaApi","Check the added new suite via API",""
"passed","Mon Jan 13 09:11:13 GMT 2025","Mon Jan 13 09:11:33 GMT 2025","20437","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeDeleted","Check the deletion of the existing project",""
"passed","Mon Jan 13 09:12:51 GMT 2025","Mon Jan 13 09:13:04 GMT 2025","13282","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:14:18 GMT 2025","Mon Jan 13 09:14:20 GMT 2025","1965","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidCredentialsLogin","Check login with invalid username and invalid password",""
"passed","Mon Jan 13 09:13:17 GMT 2025","Mon Jan 13 09:13:38 GMT 2025","20923","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:11:44 GMT 2025","Mon Jan 13 09:11:56 GMT 2025","12299","Critical Path Test","Sub-suite #2","com.qase.tests.SuiteTest","com.qase.tests.SuiteTest","suiteShouldBeCreated","Check the added suite with valid data",""
"passed","Mon Jan 13 09:13:04 GMT 2025","Mon Jan 13 09:13:17 GMT 2025","12484","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:12:16 GMT 2025","Mon Jan 13 09:12:17 GMT 2025","1118","Critical Path Test","Sub-suite #2","com.qase.tests.api.TestCaseApiTest","com.qase.tests.api.TestCaseApiTest","testCaseShouldBeCreatedViaApi","Check the added new test case via API",""
"passed","Mon Jan 13 09:12:02 GMT 2025","Mon Jan 13 09:12:17 GMT 2025","14960","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:11:03 GMT 2025","Mon Jan 13 09:11:13 GMT 2025","9906","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeCreated","Check the added project with valid data",""
"passed","Mon Jan 13 09:14:31 GMT 2025","Mon Jan 13 09:14:31 GMT 2025","894","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeUpdatedViaApi","Check the updated existing suite via API",""
"passed","Mon Jan 13 09:11:25 GMT 2025","Mon Jan 13 09:11:42 GMT 2025","16807","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:11:42 GMT 2025","Mon Jan 13 09:12:02 GMT 2025","19626","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:12:17 GMT 2025","Mon Jan 13 09:12:28 GMT 2025","11369","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:14:24 GMT 2025","Mon Jan 13 09:14:28 GMT 2025","4309","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","logInSuccessful","Check login with valid username and valid password",""
