"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 09:56:49 GMT 2025","Mon Jan 13 09:57:08 GMT 2025","18611","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 09:56:35 GMT 2025","Mon Jan 13 09:56:48 GMT 2025","12220","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeCreated","Check the added project with valid data",""
"passed","Mon Jan 13 10:00:20 GMT 2025","Mon Jan 13 10:00:22 GMT 2025","1254","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeCreatedViaApi","Check the added new suite via API",""
"passed","Mon Jan 13 10:00:24 GMT 2025","Mon Jan 13 10:00:25 GMT 2025","1465","Critical Path Test","Sub-suite #1","com.qase.tests.api.SuiteApiTest","com.qase.tests.api.SuiteApiTest","suiteShouldBeUpdatedViaApi","Check the updated existing suite via API",""
"passed","Mon Jan 13 09:56:48 GMT 2025","Mon Jan 13 09:57:01 GMT 2025","12837","Critical Path Test","Sub-suite #2","com.qase.tests.ProjectTest","com.qase.tests.ProjectTest","projectShouldBeDeleted","Check the deletion of the existing project",""
"passed","Mon Jan 13 10:00:26 GMT 2025","Mon Jan 13 10:00:27 GMT 2025","1218","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeDeletedViaApi","Check the deletion of the existing project via API",""
"passed","Mon Jan 13 09:58:10 GMT 2025","Mon Jan 13 09:58:23 GMT 2025","13527","Critical Path Test","Sub-suite #1","com.qase.tests.TestCaseTest","com.qase.tests.TestCaseTest","testCaseShouldBeCreated","Check the added test case with different data",""
"passed","Mon Jan 13 10:00:11 GMT 2025","Mon Jan 13 10:00:13 GMT 2025","2145","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidCredentialsLogin","Check login with invalid username and invalid password",""
"passed","Mon Jan 13 10:00:13 GMT 2025","Mon Jan 13 10:00:15 GMT 2025","2148","Critical Path Test","Sub-suite #1","com.qase.tests.LoginTest","com.qase.tests.LoginTest","invalidPasswordLogin","Check login with valid username and invalid password",""
"passed","Mon Jan 13 10:00:25 GMT 2025","Mon Jan 13 10:00:26 GMT 2025","915","Critical Path Test","Sub-suite #1","com.qase.tests.api.ProjectApiTest","com.qase.tests.api.ProjectApiTest","projectShouldBeCreatedViaApi","Check the added new project via API",""
